From,Fullname,To,Subject,Body,Date,IP,Return_Path,Delivered_to,Content_type,Message_Id,X_uid,Content_Length
aw-confirrn@ebay.com,eBay,"openbsd-ports@example.com, user@example.com, dugsong@example.com",Welcome to the Powersellers Community,[],"Tue, 30 Jan 2007 08:40:44 -0600",,aw-confirrn@ebay.com,user@login.example.com,"multipart/alternative;
	boundary=""--779496969165639""",YDVDGQJNBFSIUEILKLHRNHAH@msn.com,718,
westernunionresponse@westernunion.co,westernunionresponse@westernunion.co,undisclosed-recipients:;,,,"Tue, 30 Jan 2007 14:20:39 -0500 (EST)",209.200.237.198,westernunionresponse@westernunion.com,user@login.example.com,,20070130192039.41C656FA1C1@mail.example.org,719,
aw-confirm@ebay.com,Ebay member:bluebellvue,undisclosed-recipients:;,Question about Item -- Respond Now ,"Question for item #250026510836 - Respond Now eBay sent this message. Your registered name is included to show this message originated from eBay. Learn more. Question about Item -- Respond Now eBay sent this message on behalf of an eBay member through My Messages. Responses sent using email will go to the eBay member directly and will include your email address. Question from bluebellvue bluebellvue( 689) Positive feedback: 100% Member since:May-25-05 Location:NC, United States Registered on:www.ebay.com Item: (250026510836) This message was sent while the listing was active. bluebellvue is a potential buyer. I think this is exactly what we are looking for.. our school needs but our budget is small..any info you could provide on this would be so helpful We need to try to find out about it ASAP- as your auction ends tomorrow. thanks- Francisc Barett Respond to this question Responses in My Messages will not include your email address. Thank you,eBay Details for item number: 250026510836 Item URL: http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=200023943812& ;sspagename=ADME:B:AAQ:US:1 End date: Oct-25-06 16:36:44 PDT Marketplace Safety Tip Always remember to complete your transactions on eBay - it's the safer way to trade. Is this message an offer to buy your item directly through email without winning the item on eBay? If so, please help make the eBay marketplace safer by reporting it to us. These ""outside of eBay"" transactions may be unsafe and are against eBay policy. Learn more about trading safely. Is this email inappropriate? Does it violate eBay policy? Help protect the Community by reporting it. Learn how you can protect yourself from spoof (fake) emails at: http://pages.ebay.com/education/spooftutorial This eBay notice was sent to you on behalf of another eBay member through the eBay platform and in accordance with our Privacy Policy. If you would like to receive this email in text format, change your notification preferences. See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: http://pages.ebay.com/help/policies/privacy-policy.htmlUser Agreement: http://pages.ebay.com/help/policies/user-agreement.htmlCopyright © 2006 eBay, Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective owners.eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc.eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.","Tue, 30 Jan 2007 10:18:49 -0600",72.54.48.125,aw-confirm@ebay.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",SERVER2dk4RA59w1PAy0000068a@linsalata.com,720,
aw-confirm@ebay.com,Ebay member:bluebellvue,undisclosed-recipients:;,Question about Item -- Respond Now ,"Question for item #250026510836 - Respond Now eBay sent this message. Your registered name is included to show this message originated from eBay. Learn more. Question about Item -- Respond Now eBay sent this message on behalf of an eBay member through My Messages. Responses sent using email will go to the eBay member directly and will include your email address. Question from bluebellvue bluebellvue( 689) Positive feedback: 100% Member since:May-25-05 Location:NC, United States Registered on:www.ebay.com Item: (250026510836) This message was sent while the listing was active. bluebellvue is a potential buyer. I think this is exactly what we are looking for.. our school needs but our budget is small..any info you could provide on this would be so helpful We need to try to find out about it ASAP- as your auction ends tomorrow. thanks- Francisc Barett Respond to this question Responses in My Messages will not include your email address. Thank you,eBay Details for item number: 250026510836 Item URL: http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=200023943812& ;sspagename=ADME:B:AAQ:US:1 End date: Oct-25-06 16:36:44 PDT Marketplace Safety Tip Always remember to complete your transactions on eBay - it's the safer way to trade. Is this message an offer to buy your item directly through email without winning the item on eBay? If so, please help make the eBay marketplace safer by reporting it to us. These ""outside of eBay"" transactions may be unsafe and are against eBay policy. Learn more about trading safely. Is this email inappropriate? Does it violate eBay policy? Help protect the Community by reporting it. Learn how you can protect yourself from spoof (fake) emails at: http://pages.ebay.com/education/spooftutorial This eBay notice was sent to you on behalf of another eBay member through the eBay platform and in accordance with our Privacy Policy. If you would like to receive this email in text format, change your notification preferences. See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: http://pages.ebay.com/help/policies/privacy-policy.htmlUser Agreement: http://pages.ebay.com/help/policies/user-agreement.htmlCopyright © 2006 eBay, Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective owners.eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc.eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.","Tue, 30 Jan 2007 10:18:49 -0600",72.54.48.125,aw-confirm@ebay.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",SERVER2dk4RA59w1PAy0000068a@linsalata.com,721,
amazon@teamservice.com,amazon@service.com,undisclosed-recipients:;,Place or Update Credit Card on File ,"Place or Update Credit Card on File Dear Amazon Customer ,This is your final warning about the safety of your Amazon account. If you do not update your billing informations your access on Amazon features will be restricted and the user deleted. This might be due to either following reasons: - A recent change in your personal information (i.e. change of address) - Submiting invalid information during the initial sign up process. - An inability to accurately verify your selected option of payment due an internal error within our processors. Please update your Amazon profile in order to restore your online access:http://www.amazon.com/gp/subs/primeclub/account/homepage.html/ref=ya_hp_sub_1/104-4436503-7329515?ie=UTF8&method=GET If your account information is not updated, your ability to use your Amazon account will become restricted. Thank you,Amazon Billing Department Amazon treats your perxsonal information with the utmost care, and our Privacy Policy is designed to protect you and your information. Amazon will never ask their users for personal information, such as bank account numbers, credit card numbers, pin numbers, passwords, or Social Security numbers in an email. For more information on how to protect your Amazon password and your account, please visit User Account Protection. This Amazon notice was sent to you based on your Amazon account preferences and in accordance with our click here. If you would like to receive this email in text format, click here. Copyright © 2007 Amazon Inc. All Rights Reserved. Designated trademarks and brands are the property of their respective owners.Amazon and the Amazon logo are trademarks of Amazon Inc.","Tue, 30 Jan 2007 23:47:41 +0200",,amazon@teamservice.com,user@login.example.com,"text/html;
	charset=""us-ascii""",20070130215417.9917E131FAF4@mail.example.org,722,
refnumber_105215ib@bankofamerica.com,Bank of America,user <user@example.com>,"Bank of America - urgent notice from Protection Department! [Tue,
 30 Jan 2007 14:02:57 -0800]","[, ]","Tue, 30 Jan 2007 17:02:53 -0500 (EST)",131.16.136.178,refnumber_105215ib@bankofamerica.com,user@login.example.com,"multipart/related; 
	boundary=""9TIXDU58M0ILPLRKBM47""",20070130220253.620CD6FA1C1@mail.example.org,723,
servicet@regionsnet.com,Regions Card Services <servicet@regionsnet.com,User <user@example.com>,Regions Bank Account Maintenance,[],"Tue, 30 Jan 2007 15:59:32 -0700",,servicet@regionsnet.com,user@login.example.com,"multipart/alternative;
	boundary=""--0773958014457487""",985507565.02470@servicet@regionsnet.com,724,
accounts@wellsfargo.com,Wells Fargo Online Banking <accounts@wellsfargo.com,user@example.com,Update Information - Verification Required,"Untitled Document Dear Wells Fargo customer, As you may already know, we at Wells Fargo guarantee your online security and partner with you to prevent fraud. Due to the newly introduced Comprehensive Quarterly Updates Program (which is meant to help you against identity theft, monitor your credit and correct any possible errors), we urge you to go through the 2 steps Wells Fargo Account Confirmation process. The operation involves logging in and confirming your identity over a secure connection at: http://www.wellsfargo.com/confirmation/update/signon?SIGNON&XCP=1010 After completing the operation, you will be informed whether or not your account has been confirmed with Comprehensive Quarterly. Thank you for working with us in combating online fraud and also, for choosing Wells Fargo as your Financial Institution. When you use Wells Fargo Online ® or Wells Fargo Business Online ® Banking, e guarantee that you will be covered 100% for any funds improperly removed from your Wells Fargo accounts, while we are handling your transactions, subject to your responsibility, described below. Brokerage accounts offered through Wells Fargo Investments, LLC (member SIPC), a non-bank affiliate of Wells Fargo & Company. © 1999 - 2005 Wells Fargo Bank. All rights reserved.","Sat, 17 Sep 2005 19:12:49 +0100",,user@mail.example.com,user@example.com,text/html; charset=iso-8859-1,E1EGhBB-0007z7-5D@alpha.xnoc.net,144,2018
webmaster@bb.com.mx,"Servicio@uninet.edu, de@uninet.edu, Banco@uninet.edu,
	del@uninet.edu, Bajío@uninet.edu, S.A. <webmaster@bb.com.mx",umeet@uninet.edu,"Posible fraude con su cuenta de Banco del Bajío, S. A.","Estimado Cliente Estimado Cliente, Según nuestros registros informáticos, hemos detectado recientemente que los accesos a su cuenta a través de Banca en la Red han sido efectuados desde diferentes direcciones IP. Esto probablemente se deba a que la dirección IP de su computador es dinámica y varía constantemente, o debido a que usted ha utilizado más de un computador para acceder a su cuenta. Debido a este suceso y en cumplimiento con la nueva normativa vigente, hemos actualizado nuestros sistemas informáticos para brindar una mayor seguridad a nuestros clientes, por lo cual necesitaremos que ingrese en su cuenta y efectúe una verificación de su actividad reciente. Los procedimientos de seguridad requieren que usted verifique la actividad en su cuenta antes del 1 de Febrero del 2007. Transcurrida esa fecha, el sistema informático automatizado dara de baja su cuenta. Así mismo, le recordamos que este correo no es para verificar los datos de su tarjeta, es solo para verifica r la actividad. De ante mano le agradecemos su cooperación en este aspecto. Para ingresar a su cuenta a través de Banca en la Red y verificar la actividad de la misma, debe utilizar el siguiente enlace: https://secure4.bb.com.mx/userbb/login/","Wed, 31 Jan 2007 02:14:51 +0100",,info@tiba-welt.de,user@login.example.com,text/html,E1HC43n-0003sw-Ff@server021.webpack.hosteurope.de,725,
service@chase.server1.com,Chase Online  <service@chase.server1.com,user@example.com,Alert: Account Locked!,"Account Locked ! Dear Chase Member, Due to the number of incorrect login attempts, your Chase Account has been locked for your security. This has been done to secure your accounts and to protect your private information in case the login attempts were not done by you.. At Chase Bank we care about your security so, for your protection we are proactively notifying you of this activity. If you did not trigger this lockout, follow this link to Log on to your Chase Online Account : Click here to unlock your account Thank you for your prompt attention to this matter. We apologize for any inconvenience. Thank you for using Chase! Ple ase do not reply to this e-mail. Mail sent to this address cannot be answered.","Tue, 30 Jan 2007 18:15:33 -0800",,bbeavers@localhost.localdomain,user@login.example.com,text/html,200701310215.l0V2FXc5011724@localhost.localdomain,726,
online_5209642040ib@53.com,Fifth Third Bank,user <user@example.com>,"Fifth Third Bank: urgent security notification for clients [Wed,
 31 Jan 2007 09:20:41 -0500]","[, ]","Wed, 31 Jan 2007 09:20:41 -0500 (EST)",116.240.132.214,online_5209642040ib@53.com,user@login.example.com,"multipart/related; 
	boundary=""H0N4C247EK3J4PM2WT62THH""",20070131142041.50F086FA1C7@mail.example.org,727,
accounts@regions.com,RegionsNET Security Service,user@example.com,RegionsNET Technical Services,[],"Wed, 31 Jan 2007 14:24:26 -0200",,accounts@regions.com,user@login.example.com,"multipart/alternative;
	boundary=""--1235392128870050""",SJZVBKTYLGXOYLWNQHEMRIYJ@comcast.net,728,
member@ebay.co,member@ebay.co,undisclosed-recipients:;,,,"Wed, 31 Jan 2007 12:34:21 -0500 (EST)",,member@ebay.com,user@login.example.com,,K[2,729,
service@paypal.com,PayPal,undisclosed-recipients:;,PayPal Account Security Measures,"Please Restore Your Account Access Dear PayPal Member, PayPal is committed to maintaining a safe environment for its community of buyers and sellers. To protect the security of your account, PayPal employs some of the most advanced security systems in the world and our anti-fraud teams regularly screen the PayPal system for unusual activity. We are contacting you to remind you that on November 2, 2006 our Account Review Team identified some unusual activity in your account. In accordance with PayPal's User Agreement and to ensure that your account has not been compromised, access to your account was limited. Your account access will remain limited until this issue has been resolved. We would like to ensure that your account was not accessed by an unauthorized third party. Because protecting the security of your account is our primary concern, we have limited access to sensitive PayPal account features. We understand that this may be an inconvenience but please understand that this temporary limitation is for your protection. In order to secure your account and quickly restore full access, we may require some additional information from you. Login follow our secure site and update all necessary informations to your account. Click here to restore your account access Thank you for your prompt attention to this matter. Please understand that this is a security measure meant to help protect you and your account. We apologize for any inconvenience. Sincerely, PayPal Account Review Department. Please do not reply to this e-mail. Mail sent to this address cannot be answered. For assistance, log in to your PayPal account and choose the ""Help"" link in the footer of any page. PayPal Email ID PP2359 Copyright© 2006, PayPal Inc., All rights reserved. Designated trademarks and brands are the property of their respective owners. Protect Your Account Info Make sure you never provide your password to fraudulent websites.To safely and securely access the PayPal website or your account, open a new web browser (e.g. Internet Explorer or Netscape) and type in the PayPal login page (http://paypal.com/) to be sure you are on the real PayPal site.PayPal will never ask you to enter your password in an email.For more information on protecting yourself from fraud, please review our Security Tips at https://www.paypal.com/us/securitytips Protect Your Password You should never give your PayPal password to anyone.","Mon, 29 Jan 2007 19:02:26 -0600",65.67.75.241,service@paypal.com,user@login.example.com,"text/plain;
	charset=""Windows-1251""",WILLIAM-KT39JIYxEfh00000b9b@william-kt39jiy,730,
accounts@regions.com,Regions Bank,undisclosed-recipients:;,Protect your RegionsNet® against phishing scams by activate Anti-Theft Program,"Regions Bank MEMBER NOTICE: Currently we are trying to upgrade RegionsNet® Online Accounts for security measures. Anti-Theft Program will allow us to verify your identity from your computer, at home, at work, anywhere. When you access your account we'll know it's you. With our new Anti-Theft Program you are helping not only yourself but also Regions bank. We apreciate your support and understanding our banking method authentications. Businesses are continually concerned about the ever increasing sophistication in the types of frauds that are being committed today. Many of these frauds begin with the theft of private information. Business Authentication allows us to provide additional protection and enables you to have further control over the type of information or transactions accessed by your employees. Please Note: Regions Bank will never ask for your Personal Identification Number via e-mail or phone. Activate Anti-Theft Program and confirm the authentication procedure by following the link below. https://secure.regionsnet.com/EBanking/logon/user?a= 2007 © Regions Bank - RegionsNet® Online Member FDIC. Equal Housing Lender ..","Wed, 31 Jan 2007 17:31:25 -0500",72.54.78.226,accounts@regions.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",MAILSERVERD5euwdUTa000013db@mail.arlenness.com,731,
customer@regions.com,@ 2007 Regions Bank,"emv@example.com, user@example.com, openbsd-misc@example.com,
 libevent-users@example.com, rwash@example.com, kra@example.com,
 d1ck@example.com, ceremony@example.com, ceremony-bounces@example.com",Maintaining the trust of our customers !!! ,[],"Wed, 31 Jan 2007 21:24:57 -0600",,customer@regions.com,user@login.example.com,"multipart/alternative;
	boundary=""--36019920950682885""",IMIGZPEMWTTILEEXHPVHMNSL@verizon.net,732,
service@paypal.com,Paypal Inc.,user@example.com,PayPal Account® Posible Fraud - Notification,[],"Thu, 01 Feb 2007 06:58:10 -0300",,service@paypal.com,user@login.example.com,"multipart/alternative;
	boundary=""--8348052953505181""",SFYIWVNRYYDZYTBSQUKI@verizon.net,733,
support@chaseonline.chase.com,Chase Bank Inc.,"user@example.com, nelson@example.com, slashdot@example.com,
 ceremony-bounces@example.com, ceremony@example.com, remony@example.com",Notification from Online Customer Support Department,[],"Thu, 01 Feb 2007 15:53:39 -0200",,support@chaseonline.chase.com,user@login.example.com,"multipart/alternative;
	boundary=""--94365855136237682""",JHBGENDFOTPUGCVUBICNMCLE@hotmail.com,734,
aw-confirm@ebay.com,eBay Security Center <aw-confirm@ebay.com,user@example.com,TKO NOTICE: eBay Registration Suspension -Section 9- ,"Dear eBay customer, During our regularly scheduled account maintenance and verification procedures, we've detected a slight error in your informations. This might be due to either of the following reasons: 1. A recent change in your personal information ( i.e.change of address).2. Submiting invalid information during the initial sign up process.3. An inability to accurately verify your selected option of payment due to an internal error within our processors.4. Fraud Alert - Somone tried to sign in to eBay but not successful. Please update and verify your information by clicking below : If your account information is not updated within 24 hours then your ability to sell or bid on eBay will become restricted. Thank you The eBay Billing Deptartment . Copyright © 1995-2005 eBay Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective owners.Use of this Web site constitutes acceptance of the eBay User Agreement and Privacy Policy. eBay Security Center","Sun, 18 Sep 2005 18:08:31 +1000",,user@mail.example.com,user@example.com,text/html,200509180808.j8I88V424689@www.ihostingshop.net,145,3829
online-banking@chase.com,Chase Bank,undisclosed-recipients:;,"Dear Regions Bank Customer, ","Dear Regions Customer, This is the official notification from Regions Bank. We are sorry to inform you that your online payments and transfers services are expired, and must be renewed immediately, if you intend to use this services in the future, and prevent any similarly situations you must take action at once! Click Here and RENEW your Regions Payments & Transfers Services. STEP 1-2 : Review the renewal form STEP 2-2 : Sign-in to your Online Banking Account _______________ Thank you for the privilege of serving you. *********************************************** Sincerely, Regions Online Payments Department *********************************************** © 2007 Regions Bank Equal Housing Lender, Member FDIC.","Thu, 1 Feb 2007 09:24:37 -0600",70.88.0.146,online-banking@chase.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",ADDTECKabigPasSmz6U00000ab8@addteck,735,
servicet@paypal.com,PayPal <servicet@paypal.com,User <user@example.com>,Notification of Limited Account Access,[],"Fri, 02 Feb 2007 06:07:08 -0500",,servicet@paypal.com,user@login.example.com,"multipart/alternative;
	boundary=""--40435867147645955523""",5958968062.35993@servicet@paypal.com,736,
account@chase.com,Chase Security Departament,user@example.com,Notifiation of Limited Account Access,[],"Fri, 02 Feb 2007 17:26:18 +0500",,account@chase.com,user@login.example.com,"multipart/alternative;
	boundary=""--39541238374271938018""",PBJCPTVYRYPSNBCIKPSKMB@yahoo.com,737,
aw-confirm@eBay.com,eBay,user@example.com,Please Pay Your eBay Fees !,[],"Fri, 02 Feb 2007 20:53:08 +0600",,aw-confirm@eBay.com,user@login.example.com,"multipart/alternative;
	boundary=""--9967402605615312432""",BCCDZAKBURGPYJLKIRFEK@eBay.co.uk,738,
aw-service@maiI.ebay.fr.host101-server.com,eBay France,undisclosed-recipients:;,Question for item #250026510836 - Respond Now,". Question for item #250026510836 - Respond Now eBay sent this message. Your registered name is included to show this message originated from eBay. Learn more. Question about Item - Respond Now eBay sent this message on behalf of an eBay member through My Messages. Responses sent using email will go to the eBay member directly and will include your email address. Question from bluebellvue bluebellvue( 146) Positive feedback: 100% Member since:May-25-05 Location:NC, United States Registered on:www.ebay.com Item: (250026510836) This message was sent while the listing was active. bluebellvue is a potential buyer. I don't understand why you are not answering back.I have made the payment and you said you will provide a tracking number after the payment is done.If you don't replay I am assuring you I will report you at eBay.I am sorry for that but you gave me no choice.Waiting for your answer asap. Thank you! Mark Barett. Respond to this question Responses in My Messages will not include your email address. Thank you,eBay Details for item number: 250026510638 Item URL: http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=200023943812&sspagename=ADME:B:AAQ:US:1 End date: Sep-11-06 16:36:44 PDT Marketplace Safety Tip Always remember to complete your transactions on eBay - it's the safer way to trade. Is this message an offer to buy your item directly through email without winning the item on eBay? If so, please help make the eBay marketplace safer by reporting it to us. These ""outside of eBay"" transactions may be unsafe and are against eBay policy. Learn more about trading safely. Is this email inappropriate? Does it violate eBay policy? Help protect the Community by reporting it. Learn how you can protect yourself from spoof (fake) emails at: http://pages.ebay.com/education/spooftutorial This eBay notice was sent to you on behalf of another eBay member through the eBay platform and in accordance with our Privacy Policy. If you would like to receive this email in text format, change your notification preferences. See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: http://pages.ebay.com/help/policies/privacy-policy.htmlUser Agreement: http://pages.ebay.com/help/policies/user-agreement.htmlCopyright © 2006 eBay, Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective owners.eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc.eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.","Fri, 2 Feb 2007 10:36:22 -0500",66.110.128.188,aw-service@maiI.ebay.fr.host101-server.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",200702021535.l12FZgKI015006@host101.host101-server.com,739,
refnumber_636222ib@bbt.com,Branch Banking and Trust,user <user@example.com>,"Confirmation Procedure! [Fri, 02 Feb 2007 13:34:40 -0800]","[, ]","Fri,  2 Feb 2007 16:34:39 -0500 (EST)",86.207.0.48,refnumber_636222ib@bbt.com,user@login.example.com,"multipart/related; 
	boundary=""JHMCH69E6K.5NSN""",20070202213439.F37E06FA1C1@mail.example.org,740,
operator_id31065164201887ib@53.com,Fifth Third Bank,user <user@example.com>,Customer service: your account in Fifth Third Bank,"[, ]","Fri,  2 Feb 2007 20:40:47 -0500 (EST)",82.150.102.239,operator_id31065164201887ib@53.com,user@login.example.com,"multipart/related; 
	boundary=""ZD_JBWNB53HHJQ2KY_HO9GX8""",20070203014047.108C46FA1A8@mail.example.org,741,
online-support@online-bankofamerica.com,Bank Of America,undisclosed-recipients:;,Dear Customer...,"Bank Of America Dear Customer, As the Internet and information technology enable us to expand our services, we are committed to maintaining the trust customers have placed in us for protecting the privacy and security of information we have about you. In order to protect your information against unauthorized access, identity theft and account fraud we earnestly ask you to update your profile. If you received this notice and you are not the authorized account holder, please be aware that it is in violation of our policy to represent oneself as another Bank of America user. Such action may also be in violation of local, national, and/or international law. Bank of America is committed to assist law enforcement with any inquiries related to attempts to misappropriate personal information with the intent to commit fraud or theft. Information will be provided at the request of law enforcement agencies to ensure that perpetrators are prosecuted to the fullest extent of the law. To confirm your On-Line Safety Account Information please click the link below. https://bankonline.bankofamerica.com/efs/servlet/login.jsp Please note: ---------------------------------------------------------------------------------------------------------------------------------------------------- If we don't receive your account verification within 72 hours from you, we will further lock down your account untill we will be able to contact you by e-mail or phone. ---------------------------------------------------------------------------------------------------------------------------------------------------- Bank Of America will NEVER ask for you credit card ATM pin. Don`t give it to anyone !!! 2007 Bank of America Administration. All rights reserved.","Thu, 1 Feb 2007 07.37.18 +0100",,online-support@online-bankofamerica.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",20070203063659.64ACB131FBD2@mail.example.org,742,
confirm@no-paypal.com,PayPal Inc.,undisclosed-recipients:;,Profile Update - PayPal Inc. -,"Untitled Document Dear PayPal Inc. user, This email is to inform you, that we had to block your PayPal Inc. Account access because we had to upgrade our servers in order to remove online fraud. Our terms and conditions you agreed to state that your account must always be under your control or those you designate at all times. We have noticed some unusual activity related to our servers that indicates that other parties may have access and, or control of your informations in your account. Please follow this link to confirm your account access information : >>> Click here <<< Please be aware that until we can verify your identity no further access to your account will be allowed and we will have no other liability for your account or any transactions that may have occurred as a result of your failure to upgrade your account as instructed above. Thank you for your time and consideration in this matter . Sincerely, PayPal Inc. Account Departement. © Copyright 2007, PayPal Inc. . All Rights Reserved.","Sat, 3 Feb 2007 02:10:01 -0800",68.105.243.216,confirm@no-paypal.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",20070203100957.8BC6EE41F0@virtualhosts.ari.es,743,1986
support49082342@paypal.com,Paypal Resolution. Center,undisclosed-recipients:;,PayPal Limited Account Access. (Routing Code: PP-389-968-945),"PayPal Dear PayPal Customer, Paypal is constantly working to ensure security by regulary screening the accounts in our system.We recently reviewed your account,and we need more information to help us provide you with secure service.Until we can collect this information,your access to sensitive account features will be limited.We would like to restore your acces as soon as possible,and we apologize for the inconvenience. Why is my account access limited? Your account access has been limited for the following reason(s): We would like to ensure that your account was not accessed by an unauthorized third party.Becouse protecting the security of your account is our primary concern,we have limited access to sensitive Paypal account features.We understanding that this may be an inconvenience but please understand that this temporary limitation is for your protection. (Your case ID for this reason is PP-241-615-333.) Completing all of the checklist items will automatically restore your account access. You must click the link below and enter your information to review your account: https://www.paypal.com/cgi-bin/ssl/webscr.php?cmd=restore-account-login43689473fgh5g4HGGTYGTCCL ( Secure Link )","Sat, 3 Feb 2007 12:00:12 -0600",207.155.28.29,support49082342@paypal.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",SERVER1OCcUB5AyjgLj00000ad7@server1.tri-mar.net,744,
aw-Fraud@e-bay.com,eBay <aw-Fraud@e-bay.com,user@example.com,eBay Fraud Mediation Request,"eBay Fraud Mediation Request You have recieved this email because you or someone had used your account to make fake bids at eBay. For security purposes, we are required to open an investigation into this matter. THE FRAUD ALERT ID CODE CONTAINED IN THIS MESSAGE WILL BE ATTACHED IN OUR FRAUD MEDIATION REQUEST FORM, IN ORDER TO VERIFY YOUR EBAY ACCOUNT REGISTRATION INFORMATIONS. Fraud Alert ID CODE: 00937614 (Please save this Fraud Alert ID Code for your reference.) To help speed up this process, please access the following form to complete the verification of your eBay account registration informations: http://www.eBay.com/cgi_bin/secure/Fraud Alert ID CODE: 00937614 . Please Note: If we do not receive the appropriate eBay account verification within 48 hours, then we will assume this eBay account is fraudulent and will be suspended. The purpose of this verification is to ensure that your eBay account has not been fraudulently used and to combat the fraud from our community. We appreciate your support and understanding, as we work together to keep eBay a safe place to trade. Thank you for your patience in this matter. Regards, Safeharbor Department (Trust and Safety Department) eBay Inc. Please do not reply to this e-mail as this is only a notification. Mail sent to this address cannot be answered. Copyright © 2005 eBay Inc. All Rights Reserved. Designated trademarks and brands are the property of their respective owners. eBay and the eBay logo are trademarks of eBay Inc. eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.","Mon, 19 Sep 2005 02:42:22 +0200 (CEST)",,user@mail.example.com,user@example.com,text/html,20050919004222.4B35B13D3DF@http03.ifrance.com,146,3735
aw-service@maiI.ebay.fr.asilefx.com,eBay France,undisclosed-recipients:;,Question for item #250026510836 - Respond Now,". Question for item #250026510836 - Respond Now eBay sent this message. Your registered name is included to show this message originated from eBay. Learn more. Question about Item - Respond Now eBay sent this message on behalf of an eBay member through My Messages. Responses sent using email will go to the eBay member directly and will include your email address. Question from bluebellvue bluebellvue( 146) Positive feedback: 100% Member since:May-25-05 Location:NC, United States Registered on:www.ebay.com Item: (250026510836) This message was sent while the listing was active. bluebellvue is a potential buyer. I don't understand why you are not answering back.I have made the payment and you said you will provide a tracking number after the payment is done.If you don't replay I am assuring you I will report you at eBay.I am sorry for that but you gave me no choice.Waiting for your answer asap. Thank you! Mark Barett. Respond to this question Responses in My Messages will not include your email address. Thank you,eBay Details for item number: 250026510638 Item URL: http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item=200023943812&sspagename=ADME:B:AAQ:US:1 End date: Sep-11-06 16:36:44 PDT Marketplace Safety Tip Always remember to complete your transactions on eBay - it's the safer way to trade. Is this message an offer to buy your item directly through email without winning the item on eBay? If so, please help make the eBay marketplace safer by reporting it to us. These ""outside of eBay"" transactions may be unsafe and are against eBay policy. Learn more about trading safely. Is this email inappropriate? Does it violate eBay policy? Help protect the Community by reporting it. Learn how you can protect yourself from spoof (fake) emails at: http://pages.ebay.com/education/spooftutorial This eBay notice was sent to you on behalf of another eBay member through the eBay platform and in accordance with our Privacy Policy. If you would like to receive this email in text format, change your notification preferences. See our Privacy Policy and User Agreement if you have questions about eBay's communication policies. Privacy Policy: http://pages.ebay.com/help/policies/privacy-policy.htmlUser Agreement: http://pages.ebay.com/help/policies/user-agreement.htmlCopyright © 2006 eBay, Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective owners.eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc.eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125.","Sat, 3 Feb 2007 21:45:17 -0500",66.110.128.188,aw-service@maiI.ebay.fr.asilefx.com,user@login.example.com,"text/html;
	charset=""Windows-1251""",200702040252.l142q0BI002465@d565.asilefx.com,745,
